DEPT,GR,Helper
267.3096,16.942,1
267.462,17.78915,1
267.6144,18.82666,1
267.7668,19.18741,1
267.9192,19.00771,1
268.0716,19.39185,1
268.224,19.29918,1
268.3764,18.64244,1
268.5288,18.04448,1
268.6812,18.06702,1
268.8336,19.33977,1
268.986,20.57002,1
269.1384,20.60835,1
269.2908,19.4207,1
269.4432,18.57895,1
269.5956,18.63766,1
269.748,18.04906,1
269.9004,17.91096,1
270.0528,18.6474,1
270.2052,20.23358,1
270.3576,20.91066,1
270.51,20.02754,1
270.6624,18.76822,1
270.8148,18.21498,1
270.9672,18.68512,1
271.1196,19.80809,1
271.272,20.32674,1
271.4244,20.51088,1
271.5768,20.44757,1
271.7292,20.79684,1
271.8816,20.49437,1
272.034,19.92044,1
272.1864,20.27992,1
272.3388,20.99063,1
272.4912,20.91635,1
272.6436,21.14182,1
272.796,22.0537,1
272.9484,21.44414,1
273.1008,20.0274,1
273.2532,19.35582,1
273.4056,19.47729,1
273.558,20.0602,1
273.7104,21.09505,1
273.8628,22.08907,1
274.0152,21.50459,1
274.1676,19.83788,1
274.32,18.43282,1
274.4724,18.15033,1
274.6248,19.74811,1
274.7772,20.9893,1
274.9296,21.43843,1
275.082,20.92155,1
275.2344,21.23187,1
275.3868,22.09953,1
275.5392,22.61784,1
275.6916,22.28131,1
275.844,22.09554,1
275.9964,22.40828,1
276.1488,22.00867,1
276.3012,22.45648,1
276.4536,23.37874,1
276.606,23.98996,1
276.7584,24.16713,1
276.9108,23.74045,1
277.0632,24.34827,1
277.2156,24.46678,1
277.368,23.05273,1
277.5204,21.16122,1
277.6728,19.68872,1
277.8252,18.7419,1
277.9776,18.06619,1
278.13,17.69191,1
278.2824,18.20526,1
278.4348,18.71245,1
278.5872,19.94792,1
278.7396,21.10805,1
278.892,21.97345,1
279.0444,22.40967,1
279.1968,21.92349,1
279.3492,22.65596,1
279.5016,22.97429,1
279.654,22.58044,1
279.8064,21.54546,1
279.9588,20.16219,1
280.1112,19.61006,1
280.2636,20.1857,1
280.416,21.31442,1
280.5684,21.45612,1
280.7208,20.75076,1
280.8732,20.34685,1
281.0256,20.21016,1
281.178,19.21394,1
281.3304,18.06155,1
281.4828,19.31892,1
281.6352,20.97592,1
281.7876,22.25891,1
281.94,21.95367,1
282.0924,21.62796,1
282.2448,22.36925,1
282.3972,22.86096,1
282.5496,22.34251,1
282.702,21.22803,1
282.8544,21.05357,1
283.0068,21.49078,1
283.1592,21.62267,1
283.3116,20.28374,1
283.464,19.29955,1
283.6164,19.21156,1
283.7688,19.27414,1
283.9212,18.69235,1
284.0736,18.04893,1
284.226,18.57928,1
284.3784,20.03265,1
284.5308,20.52792,1
284.6832,20.52151,1
284.8356,20.55553,1
284.988,20.33235,1
285.1404,19.34747,1
285.2928,19.63185,1
285.4452,19.59258,1
285.5976,18.69147,1
285.75,18.7486,1
285.9024,19.76286,1
286.0548,19.28909,1
286.2072,18.81119,1
286.3596,18.96474,1
286.512,19.76479,1
286.6644,19.99701,1
286.8168,19.09712,1
286.9692,18.03615,1
287.1216,18.22374,1
287.274,19.91335,1
287.4264,21.33537,1
287.5788,21.24336,1
287.7312,21.80219,1
287.8836,21.92894,1
288.036,20.86784,1
288.1884,19.81165,1
288.3408,21.4543,1
288.4932,23.29762,1
288.6456,24.4614,1
288.798,23.2083,1
288.9504,21.68279,1
289.1028,20.59003,1
289.2552,20.09026,1
289.4076,20.50026,1
289.56,20.14287,1
289.7124,19.12282,1
289.8648,18.08728,1
290.0172,17.98715,1
290.1696,18.29756,1
290.322,18.1474,1
290.4744,17.71742,1
290.6268,17.62328,1
290.7792,18.24794,1
290.9316,19.25307,1
291.084,19.81154,1
291.2364,19.81854,1
291.3888,19.44179,1
291.5412,19.05113,1
291.6936,19.33768,1
291.846,19.60242,1
291.9984,19.43741,1
292.1508,19.25896,1
292.3032,20.08284,1
292.4556,22.03122,1
292.608,23.16225,1
292.7604,22.41455,1
292.9128,21.54686,1
293.0652,21.98598,1
293.2176,22.17091,1
293.37,21.33623,1
293.5224,20.39427,1
293.6748,20.12006,1
293.8272,20.61531,1
293.9796,21.23775,1
294.132,20.41743,1
294.2844,18.40422,1
294.4368,16.85152,1
294.5892,16.36169,1
294.7416,16.86313,1
294.894,16.83461,1
295.0464,17.58514,1
295.1988,18.21822,1
295.3512,18.80467,1
295.5036,18.98868,1
295.656,18.56523,1
295.8084,17.76431,1
295.9608,17.6132,1
296.1132,18.41385,1
296.2656,18.54047,1
296.418,18.26903,1
296.5704,18.43477,1
296.7228,19.07762,1
296.8752,17.77635,1
297.0276,16.49368,1
297.18,16.20514,1
297.3324,17.59966,1
297.4848,19.08598,1
297.6372,19.86235,1
297.7896,18.7195,1
297.942,16.6613,1
298.0944,15.64814,1
298.2468,16.83113,1
298.3992,17.53104,1
298.5516,16.80859,1
298.704,15.97346,1
298.8564,15.59436,1
299.0088,15.62549,1
299.1612,16.22348,1
299.3136,17.28131,1
299.466,17.97284,1
299.6184,17.09404,1
299.7708,17.17738,1
299.9232,17.69997,1
300.0756,18.09834,1
300.228,18.27716,1
300.3804,18.46922,1
300.5328,18.64755,1
300.6852,19.00719,1
300.8376,19.94406,1
300.99,21.36407,1
301.1424,21.72058,1
301.2948,21.29968,1
301.4472,20.11986,1
301.5996,19.62904,1
301.752,20.12135,1
301.9044,20.26332,1
302.0568,20.07574,1
302.2092,20.88304,1
302.3616,21.97313,1
302.514,22.64264,1
302.6664,21.99043,1
302.8188,20.49684,1
302.9712,19.75529,1
303.1236,20.22444,1
303.276,20.51137,1
303.4284,20.4465,1
303.5808,20.13945,1
303.7332,19.79782,1
303.8856,19.50839,1
304.038,19.28438,1
304.1904,19.17108,1
304.3428,19.38824,1
304.4952,20.02115,1
304.6476,20.65118,1
304.8,21.04116,1
304.9524,20.53486,1
305.1048,19.52953,1
305.2572,18.6581,1
305.4096,18.55383,1
305.562,19.75789,1
305.7144,20.10955,1
305.8668,18.82005,1
306.0192,17.37896,1
306.1716,16.87936,1
306.324,16.91555,1
306.4764,17.68015,1
306.6288,17.99714,1
306.7812,17.32713,1
306.9336,15.91951,1
307.086,15.75646,1
307.2384,16.62275,1
307.3908,17.56528,1
307.5432,17.74375,1
307.6956,18.06497,1
307.848,18.81539,1
308.0004,19.43957,1
308.1528,19.16355,1
308.3052,17.92997,1
308.4576,17.7953,1
308.61,19.55178,1
308.7624,21.23241,1
308.9148,22.47834,1
