DEPTH_WMSF,HSGR,Helper
97.536,23.5137,1
97.6884,24.1273,1
97.8408,23.8136,1
97.9932,23.8477,1
98.1456,23.1296,1
98.298,21.7216,1
98.4504,22.5799,1
98.6028,23.4781,1
98.7552,24.4211,1
98.9076,22.9434,1
99.06,22.3842,1
99.2124,21.338,1
99.3648,22.3796,1
99.5172,21.8266,1
99.6696,22.9808,1
99.822,22.6293,1
99.9744,22.5053,1
100.1268,20.5639,1
100.2792,20.1938,1
100.4316,20.3751,1
100.584,23.3075,1
100.7364,23.3052,1
100.8888,23.1556,1
101.0412,19.6423,1
101.1936,20.9429,1
101.346,21.0309,1
101.4984,23.0382,1
101.6508,21.9959,1
101.8032,21.8918,1
101.9556,21.8539,1
102.108,22.0101,1
102.2604,22.2722,1
102.4128,22.0322,1
102.5652,21.9823,1
102.7176,21.5251,1
102.87,21.5316,1
103.0224,21.9995,1
103.1748,23.3492,1
103.3272,22.829,1
103.4796,23.6841,1
103.632,23.9375,1
103.7844,25.6127,1
103.9368,25.6483,1
104.0892,25.1886,1
104.2416,24.9659,1
104.394,25.2348,1
104.5464,25.2603,1
104.6988,25.5182,1
104.8512,23.3098,1
105.0036,22.818,1
105.156,21.5219,1
105.3084,21.4171,1
105.4608,22.0325,1
105.6132,22.9089,1
105.7656,25.7912,1
105.918,25.2352,1
106.0704,26.0333,1
106.2228,23.7288,1
106.3752,23.4523,1
106.5276,22.3659,1
106.68,21.8599,1
106.8324,23.2197,1
106.9848,21.6395,1
107.1372,22.2579,1
107.2896,21.1951,1
107.442,23.4481,1
107.5944,23.232,1
107.7468,22.3607,1
107.8992,22.5244,1
108.0516,23.5156,1
108.204,24.9156,1
108.3564,24.4251,1
108.5088,24.282,1
108.6612,24.3973,1
108.8136,23.9358,1
108.966,24.8597,1
109.1184,24.2899,1
109.2708,24.3357,1
109.4232,22.6716,1
109.5756,23.1455,1
109.728,23.1494,1
109.8804,24.4699,1
110.0328,23.838,1
110.1852,24.2199,1
110.3376,23.6282,1
110.49,24.72,1
110.6424,23.8137,1
110.7948,24.5068,1
110.9472,24.512,1
111.0996,24.5607,1
111.252,23.6692,1
111.4044,24.0515,1
111.5568,26.4028,1
111.7092,27.5062,1
111.8616,26.3426,1
112.014,24.4059,1
112.1664,24.5405,1
112.3188,25.4648,1
112.4712,27.0967,1
112.6236,26.4899,1
112.776,25.768,1
112.9284,25.3561,1
113.0808,24.6514,1
113.2332,26.164,1
113.3856,25.8446,1
113.538,26.02,1
113.6904,24.768,1
113.8428,24.6558,1
113.9952,24.7512,1
114.1476,25.0833,1
114.3,25.1968,1
114.4524,23.9546,1
114.6048,23.1545,1
114.7572,22.8846,1
114.9096,23.9711,1
115.062,25.5525,1
115.2144,26.0875,1
115.3668,25.9404,1
115.5192,26.6089,1
115.6716,25.8123,1
115.824,25.6279,1
115.9764,23.6815,1
116.1288,23.5258,1
